ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG
09,Ciudad de México,000,Total de la entidad Ciudad de México,0000,Total de la Entidad,6988016,668246,55245,1472848
09,Ciudad de México,000,Total de la entidad Ciudad de México,9998,Localidades de una vivienda,258,8,1,53
09,Ciudad de México,000,Total de la entidad Ciudad de México,9999,Localidades de dos viviendas,289,32,0,43
09,Ciudad de México,002,Azcapotzalco,0000,Total del Municipio,335663,29623,2171,63846
09,Ciudad de México,002,Azcapotzalco,0001,Azcapotzalco,335663,29623,2171,63846
09,Ciudad de México,003,Coyoacán,0000,Total del Municipio,463550,39559,2881,106925
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,463550,39559,2881,106925
09,Ciudad de México,004,Cuajimalpa de Morelos,0000,Total del Municipio,174811,10285,5082,26667
09,Ciudad de México,004,Cuajimalpa de Morelos,0001,Cuajimalpa de Morelos,148990,8672,4989,23294
09,Ciudad de México,004,Cuajimalpa de Morelos,0010,Cruz Blanca,543,84,1,100
09,Ciudad de México,004,Cuajimalpa de Morelos,0020,San Lorenzo Acopilco,21985,1227,86,2676
09,Ciudad de México,004,Cuajimalpa de Morelos,0050,La Venta,421,47,0,14
09,Ciudad de México,004,Cuajimalpa de Morelos,0054,Puerto las Cruces (Monte las Cruces),997,87,0,128
09,Ciudad de México,004,Cuajimalpa de Morelos,0055,Teopazulco,57,2,0,21
09,Ciudad de México,004,Cuajimalpa de Morelos,0056,Valle de las Monjas,94,0,0,14
09,Ciudad de México,004,Cuajimalpa de Morelos,0057,Prolongación Constitución,103,3,0,25
09,Ciudad de México,004,Cuajimalpa de Morelos,0058,Paraje Río Borracho,67,9,0,4
09,Ciudad de México,004,Cuajimalpa de Morelos,0059,El Zarco,5,18,0,1
09,Ciudad de México,004,Cuajimalpa de Morelos,0060,La Bolsa (El Encinal),*,*,*,*
